Index,Period_3_commu,Period_1_commu,Period_2_commu,Background
721469715,86,,,computer science
1984129145,86,,,business
1993716226,86,,,computer science
2041285669,86,,,computer science
2281829611,86,,,computer science
2312120285,86,,,computer science
2624858389,86,,,computer science
2625016175,86,,,computer science
2907230135,86,,,computer science
2008473548,86,,,computer science
2117299419,86,,,sociology
2227892339,86,,,computer science
2507203212,86,,,computer science
2596419051,86,,,computer science
11456261,759,,,political science
2107443266,759,,,business
2114707147,759,,,political science
2280550285,759,,,business
2469140955,759,,,business
11725370,1859,,,computer science
1988162224,1859,,,computer science
2067480060,1859,,,computer science
2251703524,1859,,,philosophy
12124123,4262,,,business
2245762888,4262,,,political science
12962231,4263,,,economics
2466161989,4263,,,geography
13250842,1,,,computer science
2168903744,1,,26,computer science
2742057209,1,,,computer science
2119745525,1,,26,mathematics
2124989948,1,,26,computer science
2324750492,1,,26,medicine
2437999600,1,,26,computer science
2641952607,1,,26,computer science
1999988725,1,,,engineering
2137067593,1,,,computer science
2156862708,1,,,mathematics
2221943134,1,,,computer science
2111067505,1,,26,computer science
2114458094,1,,26,computer science
2117040297,1,,26,computer science
2134782497,1,,,computer science
2163879794,1,,3,computer science
2295915604,1,,3,computer science
2133949981,1,,,computer science
2171191827,1,,,computer science
2227311927,1,,26,computer science
2229346754,1,,,computer science
2309017108,1,,,computer science
2613985955,1,,,computer science
2738518206,1,,,computer science
2779303333,1,,,computer science
2791371685,1,,,computer science
14260821,765,,,psychology
1999427254,765,,,biology
2053106583,765,,,psychology
2746379912,765,,,psychology
2765123131,765,,,psychology
14444525,1982,,,geography
1850378930,1982,,,business
2321260993,1982,,,business
2484196861,1982,,,psychology
14669108,4264,,,geography
2892500209,4264,,,geography
14670409,70,,,economics
2140540529,70,,235,political science
2144205006,70,,,computer science
2765302791,70,,,sociology
2766496808,70,,,computer science
2795387257,70,,,computer science
2568910668,70,,235,biology
2342682786,70,,235,geography
151842408,70,,,geography
15091668,4265,,,economics
2095660755,4265,,,political science
15252474,714,,,mathematics
2083414615,714,,,computer science
2162657229,714,,,computer science
2318533553,714,,,computer science
2325600734,714,,,computer science
1981471633,3,,312,medicine
2176530673,3,,,medicine
2176662584,3,,,psychology
2197204601,3,,,medicine
2309627227,3,,13,medicine
2477639176,3,,,biology
2541124085,3,,,psychology
199697865,3,,,geography
319042669,3,,312,psychology
2773714723,3,,,medicine
2796502056,3,,,psychology
2020266204,3,,312,computer science
2303168757,3,,312,psychology
2276225315,3,,,political science
2418130276,3,,,business
2139312549,3,,,psychology
2573995312,3,,,psychology
2737656139,3,,,medicine
2772316151,3,,,political science
2135792525,3,,13,medicine
2167658693,3,,,psychology
1963804403,3,,13,medicine
2013365781,3,,13,medicine
2338058229,3,,13,medicine
